,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
497,11/26/1938,Junkers JU90V2,Deutsche Lufthansa,11.0,,"Bathurst, Gambia",Gambia,During takeoff the aircraft hit a palm tree and burst into flames due to engine failure.,7
498,11/27/1938,Short Empire Flying Boat,Imperial Airways,4.0,,"Bagdad, Iraq",Iraq,The flying boat crashed on Lake Ramadi.,5
499,11/29/1938,Douglas DC 3-A-SB-3-G-14,United Air Lines,7.0,Medford - Oakland,"Off Point Reyes, California",USA,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.",11
500,12/8/1938,Nakajima DC-2,Japan Aviation Corporation,10.0,,"Off Kubashima, Japan",Japan,Crashed into the sea near Okinawa due to engine failure.,6
501,12/9/1938,Lockheed 14-WF62 Super Electra,KLM Royal Dutch Airlines,4.0,Instructional Flight,"Amsterdam, Netherlands",Netherlands,Struck a dyke near Schiphol Airport and caught fire while taking off.,12
502,12/12/1938,Short S23 ‘C’ Class flying boat,Qantas,13.0,,"Darwin, Australia",Australia,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qanta,10
503,1/7/1939,Douglas DC-2-115B,Swissair,5.0,Zurich - Geneva - Paris,"Paris, France",France,The aircraft crashed while attempting to land.,7
504,1/13/1939,Lockheed 14-H Super Electra,Northwest Orient Airlines,4.0,Chicago - Seattle,"Miles City, Montana",USA,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.",8
505,1/13/1939,Junkers JU-52/3m,Syndicato Condor,9.0,,"Rio de Janeiro, Brazil",Brazil,The seaplane crashed in flames in mountains northeast of Rio de Janeiro.,7
506,1/18/1939,Lockheed 14 Electra,Guinea Airways,4.0,Katherine - Adelaide,"Katherine, Australia",Australia,Crashed into the Katherine River during a storm.,10
507,1/21/1939,Short S-23 (flying boat),Imperial Airways,3.0,New York City - Bermuda,AtlantiOcean between N.Y. and Bermuda,AtlantiOcean between N.Y. and Bermuda,"While en route, the aircraft ditched, broke in two  and sank in the AtlantiOcean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named Cavalier.",0
508,2/24/1939,Junkers JU-52/3m,Deutsche Lufthansa,10.0,,Mediterranean Sea,Mediterranean Sea,Crashed into the Mediterranean Sea.,0
509,3/14/1939,Junkers JU-52,Sabena,3.0,,"Haren, Belgium",Belgium,,8
510,3/16/1939,Junkers JU-86,Deutsche Lufthansa,8.0,,"Manzanares, Colombia",Colombia,,9
511,3/18/1939,Boeing 307 Stratoliner,Boeing Aircraft Company,10.0,Test flight,"Near Adler, Washington",USA,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin.",11
512,8/9/1940,Douglas DC-2-115H,Deutsche Lufthansa,2.0,,"Hannover, Germany",Germany,Pilot error.,8
513,6/3/1941,de Havilland DH-84 Dragon,Great Western and Southern Air Lines,6.0,,AtlantiOcean,AtlantiOcean,Shot down by a He-111 German military aircraft.,0
514,3/26/1939,Douglas DC-2-112,Braniff Airlines,8.0,Chicago - Dallas,"Oklahoma City, Oklahoma",USA,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.",9
515,4/3/1939,Caudron C.635 Simoun,Air France,9.0,,"Near Marrakech, Morocco",Morocco,Crashed into a mountain.,8
516,5/1/1939,Short Empire Flying Boat,Imperial Airways,2.0,,Mocambique,Mocambique,,0
517,5/2/1939,Dewoitine D-338,Air France,9.0,"Casablanca, Morocco - Dakar, Senegal","Near Marrakech, Morocco",Morocco,Crashed due to icing.,8
518,5/8/1939,Curtiss-Wright C-14 Osprey,Military - Ecuadorian Air Force,1.0,,"Guayaquil, Ecuador",Ecuador,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college.",8
519,6/10/1939,Koolhoven FK.43,KLM Royal Dutch Airlines,3.0,,"Vlissingen, The Netherlands",The Netherlands,,16
520,7/20/1939,Junkers JU86 Z-2,Swissair,6.0,"Vienna, Austria - Zurich, Switzerland","Konstanz, Switzerland",Switzerland,The aircraft crashed after an engine fire.,12
521,8/4/1939,Junkers JU-52/3m,Deutsche Lufthansa,7.0,"Toulouse, France - Casablanca, Morocco","Barcelona, Spain",Spain,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.,6
522,8/13/1939,Sikorsky S43 (flying boat),Pan American World Airways,14.0,Miami - Rio de Janerio,"Rio de Janerio, Brazil",Brazil,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.",7
523,8/15/1939,Lockheed 10 Electra,British Airways,5.0,London - Hamburg - Copenhagen,"Off Copenhagen, Denmark",Denmark,Crashed into the sea after a fire aboard.,8
524,8/28/1939,De Havilland D-84,Indian National Airways,2.0,,"Lahore, India",India,,6
525,8/30/1939,Junkers JU-52/3m,Deutsche Lufthansa,7.0,Berlin - Hanover - Cologne - London,"Hannover, Germany",Germany,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.,8
526,9/26/1939,Douglas DC-3,KLM Royal Dutch Airlines,1.0,Stockholm - Amsterdam,North Sea,North Sea,One Swedish passenger was killed when the plane was attacked by German fighters. The plane was able to land safely in Amsterdam.,0
527,11/20/1939,Airspeed Oxford,British Airways,2.0,,"Gosport, England",England,,8
528,12/18/1939,Junkers JU-52,Iberia Airlines,10.0,Alcante - Morocco,South of Gibraltar,South of Gibraltar,Shot down by British anti-aircraft fire. Crashed 6 miles south of Europa Point.,0
529,12/21/1939,Lockheed 14 Super Electra,Imperial Airways,5.0,Egypt - England,Off Malta-Luqa,Off Malta-Luqa,Crashed into the sea.,0
530,12/24/1939,Savoia-Marchetti SM83,Linee Aeree Italiane,7.0,Rome - Rio de Janerio,"Mogador, Morocco",Morocco,Crashed in a storm while attempting to make a forced landing.,8
531,1/15/1940,Lockheed 14 Super Electra,KNILM,8.0,,"Denpasar, Indonesia",Indonesia,,10
532,3/1/1940,Handley Page HP-42,Imperial Airways,8.0,Jask to Sharjah,Gulf of Oman,Gulf of Oman,Crashed in the Persian Gulf while en route with out a trace. The aircraft was named 'Hannibal.',0
533,4/22/1940,Lockheed 14 Super Electra,British Overseas Airways,3.0,"Perth, Scotland - London, England","Near Loch Lomond, Scotland",Scotland,,9
534,6/2/1940,Douglas DC-3,Douglas Aircraft Company,5.0,Test flight,"El Segundo, California",USA,Crashed and burned during a government test flight,11
535,6/14/1940,Junkers JU-52/3mge,Aero O-Y,9.0,"Tallinn, Estonia - Helsinki, Finland","Off Prangli Island, Gulf of Finland, Estonia",Estonia,The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named Kaleva.,8
536,6/20/1940,Dewoitine D-338,Air France,1.0,,"Near Ouistreham, France",France,Inadvertently shot down by French anti-aircraft fire.,7
537,7/7/1940,Dewoitine D-338,Air France,,,Gulf of Tonkin,Gulf of Tonkin,Shot down by a Japanese military fighter.,0
538,8/13/1940,Lockheed Hudson A16-97,Military - Royal Australian Air Force,10.0,Melbourne - Canberra,"Near Canberra, Australia",Australia,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery.",10
539,8/23/1940,Douglas DC-3,LARES,14.0,,"Cluj, Romania",Romania,Crashed into a mountainous area during a hail storm.,8
540,8/31/1940,Douglas DC-3,Pennsylvania Central Airlines,25.0,Washington D.C. - Detroit,"Near Lovettsville, Virginia",USA,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.",9
541,10/29/1940,Douglas DC-2,China National Aviation Corporation,9.0,Chungking - Kunming,"Near Changyi, China",China,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.,6
542,10/29/1940,Douglas DC-3,Deutsche Lufthansa,2.0,,"Berlin, Germany",Germany,Weather related.,8
543,11/4/1940,Douglas DC-3,United Air Lines,10.0,Oakland - Salt Lake City,"Near Centerville, Utah",USA,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.",5
544,11/8/1940,Junkers JU-90,Deutsche Lufthansa,29.0,,"Brauna, Germany",Germany,Icing.,8
545,11/9/1940,,,18.0,Rio de Janeiro - Sao Paulo,"Rio de Janeiro, Brazil",Brazil,Midair collisioin with a private plane.,7
546,11/27/1940,Farman F-224,Air France,6.0,,Mediterranean Sea,Mediterranean Sea,Shot down by Italian aircraft.,0
547,12/4/1940,Douglas DC-3A,United Air Lines,10.0,New York City - Chicago,"Chicago, Illinois",USA,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.,9
548,1/15/1941,Savoia-Marchetti SM-75,LATI,10.0,,Off South Africa,Off South Africa,,0
549,1/18/1941,Junkers JU-52/3m,Malert Airlines,12.0,,"Near Nagy-Varad, Hungary",Hungary,,8
550,1/20/1941,Ford 5-AT Tri-Motor,China National Aviation Corporation,5.0,,"Near Kian, China",China,Crashed into mountains during a thunderstorm,6
551,1/23/1941,Douglas DC-3-3,Trans Continental and Western Air,2.0,"Kansas City, MO - New York","Near Robertson, Missouri",USA,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.",9
552,2/6/1941,Lockheed 14-H2 Super Electra,Trans Canada Air Lines,12.0,,"Armstrong, ON, Canada",Canada,The plane crashed after the right wing struck a tree as the pilot was attempting to land. Struck several other trees and landed inverted in a swamp.,7
553,2/26/1941,Douglas DC-3,Eastern Air Lines,9.0,New York City -  Washington D.C. - Atlanta - Brownsville,"Atlanta, Georgia",USA,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash.",8
554,3/1/1941,Junkers JU-52/3m,Deutsche Lufthansa,3.0,,"Trontheim, Norway",Norway,The seaplane crashed while attemping to land.,7
555,3/28/1941,Lockheed 18 Lodestar,South African Airways,10.0,,"Elands Bay, South Africa",South Africa,Crashed into a mountain.,13
556,6/19/1941,Douglas DC-3,LARES,15.0,"Bucharest , Romania- Sofia, Bulgaria","Bucharest, Romania",Romania,Crashed during takeoff.,8
557,6/21/1941,Mitsubishi MC-20,Manchurian Air Lines,18.0,,Sea of Japan,Sea of Japan,,0
558,8/10/1941,Consolidated LB-30A Liberator,Military -Royal Air Force,22.0,,"Arran, Scotland",Scotland,"Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error.",9
559,8/14/1941,Consolidated LB-30A Liberator,Military - Royal Air Force,22.0,,"Ayr, Scotland",Scotland,"Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment.",9
560,8/18/1941,Lockheed 18 LodeStar,Panair do Brasil,8.0,Porto Alegre - Rio de Janera,"Near Sao Paulo, Brazil",Brazil,Crashed in a mountain range while enroute.,7
561,9/1/1941,Bloch 220,Air France,13.0,,"Bollemont, France",France,The aircraft crashed into lake Bolomon after engine failure during takeoff.,7
562,9/1/1941,Consolidated 32-2 Liberator I,British Overseas Airways,10.0,,"Campbeltown, Argyll, Scotland",Scotland,Crashed into a hillside.,9
563,10/3/1941,Sikorsky S-42B (flying boat),Pan American World Airways,2.0,Miami - Buenos Aires,"San Juan, Puerto Rico",Puerto Rico,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft.",12
564,10/28/1941,Junkers JU-53/3m,Deutsche Lufthansa,13.0,,,,,0
565,10/30/1941,Douglas DC-3,Northwest Orient Airlines,14.0,Minneapolis - Fargo,"Near Moorhead, Minnesota",USA,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate.",10
566,10/30/1941,Douglas DC-3,American Airlines,20.0,New York - Buffalo - Chicago - Detroit,"St. Thomas, Ontario, Canada",Canada,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.",7
567,12/11/1941,,Pan American Airways,3.0,,"Miami, Florida",USA,,8
568,1/16/1942,Douglas DC-3,Trans Continental and Western Air,22.0,Las Vegas - Los Angeles,"Near Las Vegas, Nevada",USA,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency.",7
569,1/20/1942,Lockheed Hudson,Military - Royal Australian Air Force,11.0,,"Manado, Indonesia",Indonesia,,10
570,1/24/1942,Douglas DC-3,KNILM,,,"Near Samarinda, Borneo",Borneo,Shot down by Japanese military aircraft.,7
571,1/26/1942,Grumman G-21 Goose,KNILM,,,"Kupang, Timor",Timor,Shot down by Japanese military aircraft.,6
572,1/30/1942,Short S-23 (flying boat),Qantas,13.0,,"Near Kupang, Timor",Timor,Shot down by Japanese military aircraft. Owned by British Overseas Airways.,6
573,2/14/1942,Douglas DC-2,China National Aviation Corporation,,,,,,0
574,2/15/1942,Consolidated Liberator,British Overseas Airways,9.0,,"English Channel, near Plymouth, England",England,Shot down in error.,8
575,2/20/1942,deHavilland DH-86,Qantas,9.0,,"Off Belmont, Brisbane, Australia",Australia,Crashed shortly after takeoff after losing control in low clouds.,10
576,2/28/1942,Short S-23 (flying boat),British Overseas Airways,20.0,,Indian Ocean,Indian Ocean,Shot down by Japanese military aircraft.,0
577,3/3/1942,Consolidated B-24 Liberator,Military - U.S. Army Air Force,19.0,,"Off Broome, Australia",Australia,,10
578,3/3/1942,Douglas DC-3,KNILM,8.0,,"Wyndham, Australia",Australia,Shot down by Japanese military aircraft.,10
579,8/27/1943,Douglas DC-3,Aktiebolaget Aerotransport,7.0,,North Sea,North Sea,Shot down by German military aircraft.,0
580,3/14/1942,Douglas DC-2-221,China National Aviation Corporation,13.0,,"Kunming, China",China,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light.",6
581,4/21/1942,Lockheed 14 Electra,Guinea Airways Limited,12.0,Brisbane - Bachelor Field,"Pine Creek, Australia",Australia,,10
582,5/1/1942,Douglas DST-A-207A,United Air Lines,17.0,San Francisco - New York City,"Salt Lake City, Utah",USA,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined.",5
583,5/12/1942,Douglas DC-3-A-269,Northwest Orient Airlines,3.0,Chicago - Seattle,"Miles City, Montana",USA,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction.",8
584,7/1/1942,Douglas C-49E,Military - U.S. Army Air Forces,21.0,"Battle Creek - Florence, SC","Near Premier, West Virginia",USA,"Flew into a thunderstorm and was observed in a near vertical dive before crashing to the ground.  Icing, possible overloading.",14
585,7/7/1942,Lockheed Hudson,Military - Royal Australian Air Force,10.0,,"Off Broken Head, Australia",Australia,,10
586,7/20/1942,Lockheed Hudson,Military - Royal Air Force,13.0,,"Llanfair, England",England,,8
587,8/13/1942,Liore et Olivier H-246 Air Boat,Air France,4.0,,"Algiers, Algeria",Algeria,Attacked by Royal Air Force fighters.  Crashed in the water while attempting to land.,8
588,8/21/1942,Siebel Si-204,Deutsche Lufthansa,4.0,,,,"Lufthansa chairman, Von Gablenz killed.",0
589,8/22/1942,Lockheed 14 Electra,KLM Royal Dutch Airlines,13.0,,Trinidad,Trinidad,,0
590,8/23/1942,Short Sunderland,Military - Royal Air Force,13.0,,"Invergordon, England",England,,8
591,8/25/1942,Short Sunderland (flying boat),Military - Royal Air Force,13.0,,"Near Dunbeath, Scotland",Scotland,"The plane crashed while on a flight to Iceland during WWII. The aircraft was part of the 228th Squadron RAF.  The plane hit high ground at Eagle Rock in the Scottish Highlands in poor visibility. Possible navigational error but exact cause unknown.  Prince George, Duke of Kent was among the dead.",9
592,9/27/1942,Dewoitine D-342,Air France,25.0,,"Ameur el Ain, Algeria",Algeria,Crashed during takeoff.,8
593,10/1/1942,Douglas C-47,China National Aviation Corporation,,,"Kunming, China",China,Crashed while attempting to land after losing oil pressure on one engine.,6
594,10/1/1942,Douglas C-39-DO  (DC-2),Military - U.S. Army Air Forces,22.0,Caomo - San Juan,"Near Coamo, Puerto Rico",Puerto Rico,The aircraft made a wide descending turn with engines running roughly and crashed into a hill.,12
595,10/3/1942,Sirkorsky 44A (flying boat),American Export Airlines,11.0,"New York - Botwood - Foynes, Ireland","Botwood, Newfoundland",Newfoundland,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable.",13
596,10/22/1942,Junkers JU-52/3m,Deutsche Lufthansa,17.0,,,,,0
597,10/23/1942,Douglas DC-3 / Boeing B-34,American Airlines / Military - USAF,12.0,Palm Springs - New York City,"Palm Springs, California",USA,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Boeing B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.`",11
598,10/30/1942,Handley Page HP-57 Halifax,Military - Royal Air Force,10.0,,Norway,Norway,,0
599,12/15/1942,Douglas DC-3A,Western Airlines,17.0,Salt Lake - Las Vegas - Burbank,"Fairfield, Utah",USA,"Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined.",5
600,12/19/1942,Junkers JU-52/3m,DLL,2.0,,"Wien, Vienna",Vienna,,7
601,1/9/1943,Short S-26 (flying boat),British Overseas Airways,13.0,,"River Tagus, Lisbon, Portugal",Portugal,,9
602,1/15/1943,Douglas C-54A,Military - U.S. Army Air Forces,35.0,,"Near Paramarino, Dutch Guyana",Dutch Guyana,Crashed along the coast of South American while en route to Africa.,13
603,1/18/1943,Consolidated C-87,Military - U.S. Army Air Forces,26.0,"Accra, Ghana - Natal, Brazil","Off the Brazilian coast,  AtlantiOcean", AtlantiOcean,Disappeared while en route and never found.,14
604,1/21/1943,Martin M-130 (flying boat),Pan American World Airways,19.0,Hawaii - San Francisco,"Ukiah, California",USA,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.",11
605,1/22/1943,Douglas DC-3A,Pan American Grace Airlines,14.0,"Santiago, Chili - Arequipa, Peru - Lima, Peru","Near Chaparra, Peru",Peru,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.",5
606,2/9/1943,Consolidated 32-3 Liberator II,British Overseas Airways,19.0,,"Near Gander, Newfoundland",Newfoundland,Ran out of fuel.,13
607,2/18/1943,Boeing XB-29,Private - Boeing Aircraft Company,10.0,Test flight,"Seattle, Washington",USA,"Lost altitude, struck power lines and crashed into a packing house after encountering an engine fire on a test flight.",11
608,2/22/1943,Boeing B-314 (flying boat),Pan American World Airways,25.0,New York City - Lisbon,"Lisbon, Portugal",Portugal,"Crashed into the Targus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured.",9
609,3/11/1943,Douglas C-53,China National Aviation Corporation,3.0,Kunming - Assam,"Luishui, China",China,The cargo plane was caught in a downdraft in a mountain pass en route and crashed.,6
610,3/13/1943,Douglas C-53,China National Aviation Corporation,3.0,Kunming - Dinjan,"Himalaya, China",China,Disappeared over the Himalayas.,6
611,3/27/1943,Douglas C-47-DL,Military - Royal Australian Air Force,24.0,,"Archerfield Aerodrome, Queensland, Australia",Australia,"The aircraft, taking off in darkness and poor visibility, crashed in heavy timber and caught fire.",10
612,4/22/1943,Short S-23,Qantas,13.0,,"Off Port Moresby, New Guinea",New Guinea,Stalled and crashed in poor weather into the water during an emergency landing on the open sea. Broke up in heavy seas.,11
613,6/1/1943,Douglas DC-3,British Overseas Airways,17.0,Lisbon - London,Off the coast of France,Off the coast of France,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed.",0
614,6/7/1943,Douglas C-47A-DL,Military - U.S. Army Air Forces,20.0,Pope Field - Maxton,"Red Springs, North Carolina",USA,Crashed in thunderstorm activity while attempting to land.,15
615,6/14/1943,B-17C Flying Fortress,Military - U.S. Army Air Forces,40.0,,"Near Mackay, OLD, Australia",Australia,"The aircraft took off into ground fog and leveled off at an altitude of about 300 feet. In a matter of minutes the plane had caught fire in the air, and as it dived into the trees one of its wings came away leaving a great opening in the fuselage through which most of the passengers were emptied into the bush before the final impact.",10
616,6/16/1943,Lockheed Hudson VI,British Overseas Airways,17.0,,"Khartoum, Sudan",Sudan,,6
617,6/30/1943,Lockheed Hudson VI,British Overseas Airways,16.0,,"Khartoum, Sudan",Sudan,,6
618,7/4/1943,Consolidated Liberator B24 C,,12.0,,Gibraltar,Gibraltar,"The flight, bound for London, crashed into the Mediterranean shortly after takeoff. Wladyslaw Sikorski, prime minister of the Polish government in exile, killed.",0
619,7/28/1943,Short Sunderland 3 (flying boat),British Overseas Airways,12.0,Lisbon - Foynes - Poole,"Brandon Head, Ireland",Ireland,,8
620,7/28/1943,Douglas DC-3,American Airlines,20.0,Cleveland - Memphis,"Trammel, Kentucky",USA,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity.",9
621,8/1/1943,Consolidated B-24,Military - U.S. Army Air Forces,10.0,Bombing run,"Ploesti, Romania",Romania,Crashed into a women's prison after being hit by anti-aircraft fire while on a bombing run.,8
622,8/7/1943,Douglas C-47-DL,Military - U.S. Air Force,27.0,Townsville - Brisbane,"Off Townsville, Australia",Australia,Crashed into the ocean.,10
623,8/11/1943,Douglas C-53,China National Aviation Corporation,3.0,,"Fort Hertz, China",China,The cargo plane was shot down by Japanese fighters.,6
624,8/27/1943,Junkers JU-52/3m,VASP,18.0,,"Rio de Janeiro, Brazil",Brazil,Struck a Naval Academy building while attemptin to take off.  The plane then broke in two and fell into the harbor. The plane was named 'City of Rio de Janiero.',7
625,9/10/1943,Boeing B-17F / Boeing B-17F,Military - U.S. Army Air Forces,22.0,,"Off Galveston, Texas",USA,Midair collision over the Gulf of Mexico while flying in formation. Eleven killed on each plane.,6
626,9/20/1943,Douglas C-53D-DO,Military - U.S. Army Air Forces,25.0,,"Near Maxton, North Carolina",USA,Crashed into a wooded area after nearly colliding with a glider being towed by another aircraft.  The evasive maneuver caused the aircraft to stall and crash.,15
627,9/22/1943,Douglas C-53,Military - U.S. Army Air Forces,20.0,,"Near Calcutta, India",India,Cashed into trees shortly after taking off.,6
628,10/15/1943,Douglas DC3-G102,American Airlines,15.0,Nashville - Memphis,"Near Centerville, Tennessee",USA,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing.",10
